idx,label,latency_s,valid,reason_or_hint,prompt,refined
1,no-llm,0.0115,True,,"A banking portal where users sign up and log in; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A banking portal where users sign up and log in; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
2,no-llm,0.0012,False,"Ambiguous or incomplete. Include actors, processes, data stores, and at least one flow.","pls ASAP create a dfd!!! need arrows etc for online bookstore, just do it quickly???? thx",
3,no-llm,0.001,False,"Ambiguous or incomplete. Include actors, processes, data stores, and at least one flow.",online bookstore. make a diagram.,
4,no-llm,0.001,True,,"A banking portal where customers place orders and track status; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A banking portal where customers place orders and track status; messages exchanged in real time. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
5,no-llm,0.001,True,,"A ride-sharing app where appointments scheduled and reminders sent; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A ride-sharing app where appointments scheduled and reminders sent; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
6,no-llm,0.0012,True,,"A chat application where customers place orders and track status; payments processed via external gateway. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A chat application where customers place orders and track status; payments processed via external gateway. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
7,no-llm,0.0011,True,,"pls ASAP create a dfd!!! need arrows etc for food delivery platform, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for food delivery platform, just do it quickly???? thx."
8,no-llm,0.001,True,,"pls ASAP create a dfd!!! need arrows etc for IoT home automation system, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for IoT home automation system, just do it quickly???? thx."
9,no-llm,0.001,True,,"A video streaming service where stream media over CDN; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A video streaming service where stream media over CDN; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
10,no-llm,0.0009,False,"Ambiguous or incomplete. Include actors, processes, data stores, and at least one flow.",online bookstore. make a diagram.,
11,no-llm,0.0012,True,,"A video streaming service where riders request rides and drivers accept; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A video streaming service where riders request rides and drivers accept; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
12,no-llm,0.001,True,,"pls ASAP create a dfd!!! need arrows etc for chat application, just do it quickly???? thx","Create a DFD illustrating pls ASAP a !!! need arrows etc for chat application, just do it quickly???? thx."
13,no-llm,0.001,True,,"A chat application where appointments scheduled and reminders sent; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A chat application where appointments scheduled and reminders sent; riders request rides and drivers accept. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
14,no-llm,0.0009,True,,ticketing system. make a diagram.,Create a DFD illustrating ticketing system. make a.
15,no-llm,0.001,True,,"A ticketing system where customers place orders and track status; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating A ticketing system where customers place orders and track status; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows."
