idx,label,latency_s,valid,reason_or_hint,prompt,refined
1,llm-on,1.9013,True,,"pls ASAP create a dfd!!! need arrows etc for IoT home automation system, just do it quickly???? thx","Create a DFD illustrating an IoT home automation system with devices, user interfaces, and data communication flows."
2,llm-on,2.3148,True,,"A food delivery platform where payments processed via external gateway; files uploaded and stored in a database. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a food delivery platform with actors for customers and delivery personnel, processes for order management and payment processing, a database for storing files and data, and flows for sensitive information crossing to an external payment gateway."
3,llm-on,2.3729,True,,"A health records system where messages exchanged in real time; customers place orders and track status. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a health records system where customers place orders, track status, and sensitive data flows to an external payment/API, with data stored in a database."
4,llm-on,2.4478,True,,"A IoT home automation system where appointments scheduled and reminders sent; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating an IoT home automation system with actors scheduling appointments, receiving reminders, searching and browsing items, a database for data storage, and sensitive data flows crossing a trust boundary to an external payment/API."
5,llm-on,2.1608,True,,ride-sharing app. make a diagram.,"Create a DFD illustrating a ride-sharing app with users requesting rides, drivers accepting requests, and a central system managing ride data and payments."
6,llm-on,2.4643,True,,"A chat application where stream media over CDN; appointments scheduled and reminders sent. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a chat application that streams media over a CDN, schedules appointments, sends reminders, stores data in a database, and manages sensitive flows crossing a trust boundary to an external payment/API."
7,llm-on,2.5068,True,,"A university course registration where stream media over CDN; search and browse items. Data is stored in a database and sensitive flows cross a trust boundary to an external payment/API. Include actors, processes, data stores, and flows.","Create a DFD illustrating a university course registration system where users search and browse courses, data is stored in a database, and sensitive information flows to an external payment API across a trust boundary."
8,llm-on,1.8186,True,,banking portal. make a diagram.,"Create a DFD illustrating the banking portal with users accessing accounts, transactions being processed, and data stored in a database."
9,llm-on,1.811,True,,"pls ASAP create a dfd!!! need arrows etc for health records system, just do it quickly???? thx","Create a DFD illustrating the health records system with actors such as patients and healthcare providers, processes for managing records, and data stores for storing patient information."
10,llm-on,1.8426,True,,"pls ASAP create a dfd!!! need arrows etc for food delivery platform, just do it quickly???? thx","Create a DFD illustrating a food delivery platform involving customers, restaurants, delivery personnel, order processing, and payment systems."
